Date,Interval,Queue,Total Input,Total Output,AHT (s),Avg. Latency (s),Employee Count Login
1-Feb,10,Alpha,144,136,"35,49","264,39",4
1-Feb,10,Bravo,115,108,"3,27","131,58",4
1-Feb,10,Charly,25,69,"37,88","3432,04",4
1-Feb,10,Delta,30,0,0,0,0
1-Feb,11,Alpha,176,169,"37,36","105,57",7
1-Feb,11,Bravo,127,135,"4,82","60,09",5
1-Feb,11,Charly,38,26,"26,28","1020,92",2
1-Feb,11,Delta,7,0,0,0,0
1-Feb,12,Alpha,243,223,"36,94","282,48",13
1-Feb,12,Bravo,147,146,"4,35","65,19",4
1-Feb,12,Charly,40,5,"34,72","2371,6",2
1-Feb,12,Delta,6,0,0,0,0
1-Feb,13,Alpha,178,175,"35,1","269,66",9
1-Feb,13,Bravo,162,163,"3,94","54,59",7
1-Feb,13,Charly,29,28,"41,2","5419,71",4
1-Feb,13,Delta,0,8,"35,5","12728,75",1
1-Feb,14,Alpha,179,170,"32,12","194,74",11
1-Feb,14,Bravo,148,148,"4,02","67,71",6
1-Feb,14,Charly,30,46,"38,17","6447,46",5
1-Feb,14,Delta,0,21,36,"11715,52",1
1-Feb,15,Alpha,194,186,"32,79","106,61",11
1-Feb,15,Bravo,159,160,"4,17","54,66",3
1-Feb,15,Charly,43,85,"42,63","2365,55",3
1-Feb,15,Delta,0,0,0,0,0
1-Feb,16,Alpha,197,176,"35,59","394,11",11
1-Feb,16,Bravo,119,113,"4,03","98,65",6
1-Feb,16,Charly,31,17,"32,12","2380,47",1
1-Feb,16,Delta,0,0,0,0,0
1-Feb,17,Alpha,137,151,"33,06","280,47",9
1-Feb,17,Bravo,143,147,"5,16","115,11",4
1-Feb,17,Charly,33,19,"40,95","1857,37",3
1-Feb,17,Delta,0,6,"39,42","24739,67",1
1-Feb,18,Alpha,166,155,"35,42","188,01",11
1-Feb,18,Bravo,138,139,"3,61","120,42",4
1-Feb,18,Charly,33,46,"41,64","2017,24",4
1-Feb,18,Delta,0,0,0,0,0
1-Feb,19,Alpha,166,139,"35,03","529,57",7
1-Feb,19,Bravo,154,152,"3,33",158,4
1-Feb,19,Charly,47,0,0,0,0
1-Feb,19,Delta,0,0,0,0,0
1-Feb,20,Alpha,160,160,"34,19","359,88",6
1-Feb,20,Bravo,190,191,"4,66","69,41",3
1-Feb,20,Charly,39,11,"38,08","5615,09",1
1-Feb,20,Delta,0,0,0,0,0
1-Feb,21,Alpha,142,140,"37,31","182,45",5
1-Feb,21,Bravo,172,174,"2,75","244,75",3
1-Feb,21,Charly,43,71,"63,8","6979,24",4
1-Feb,21,Delta,0,2,"27,4","37720,5",1
1-Feb,22,Alpha,105,93,"32,67","220,43",6
1-Feb,22,Bravo,188,186,"3,42","216,73",4
1-Feb,22,Charly,32,80,56,"2970,2",5
1-Feb,22,Delta,11,0,0,0,0
1-Feb,23,Alpha,68,66,"30,88","196,26",5
1-Feb,23,Bravo,143,145,3,"178,7",3
1-Feb,23,Charly,16,31,"41,81","1349,61",3
1-Feb,23,Delta,0,16,"30,33","15723,38",2
2-Feb,0,Alpha,43,44,"33,24","651,7",4
2-Feb,0,Bravo,104,102,"3,24","66,84",4
2-Feb,0,Charly,25,17,"61,09","961,71",1
2-Feb,0,Delta,0,2,"33,66","45214,5",2
2-Feb,1,Alpha,28,38,"33,49","761,26",2
2-Feb,1,Bravo,69,71,"5,2","20,17",1
2-Feb,1,Charly,19,25,"86,55","1349,64",1
2-Feb,1,Delta,1,1,"23,85",534,1
2-Feb,2,Alpha,19,19,"28,48","189,53",2
2-Feb,2,Bravo,43,42,"2,1","230,02",1
2-Feb,2,Charly,11,0,0,0,0
2-Feb,2,Delta,0,0,0,0,0
2-Feb,3,Alpha,7,6,"43,48",44,2
2-Feb,3,Bravo,69,70,"3,51","157,44",2
2-Feb,3,Charly,7,20,"40,19","1660,05",1
2-Feb,3,Delta,6,0,0,0,0
2-Feb,4,Alpha,9,9,"25,2","226,89",3
2-Feb,4,Bravo,55,54,"5,84","76,76",2
2-Feb,4,Charly,14,3,"23,38",329,2
2-Feb,4,Delta,0,0,0,0,0
2-Feb,5,Alpha,41,32,"34,52","266,78",3
2-Feb,5,Bravo,89,89,"4,66","144,54",1
2-Feb,5,Charly,5,12,"142,86","1356,42",1
2-Feb,5,Delta,0,0,0,0,0
2-Feb,6,Alpha,77,63,"31,4","423,33",4
2-Feb,6,Bravo,92,91,"3,07","96,63",1
2-Feb,6,Charly,26,0,0,0,0
2-Feb,6,Delta,0,0,0,0,0
2-Feb,7,Alpha,104,99,"34,35","146,57",3
2-Feb,7,Bravo,78,80,"4,04","50,48",1
2-Feb,7,Charly,39,9,"67,96","4181,56",2
2-Feb,7,Delta,0,0,0,0,0
2-Feb,8,Alpha,148,144,"33,88","145,56",8
2-Feb,8,Bravo,93,91,"4,37",35,3
2-Feb,8,Charly,29,28,"38,4","6740,14",3
2-Feb,8,Delta,0,0,0,0,0
2-Feb,9,Alpha,170,146,"33,68","324,98",9
2-Feb,9,Bravo,97,99,"3,94","20,23",3
2-Feb,9,Charly,36,0,0,0,0
2-Feb,9,Delta,0,0,0,0,0
2-Feb,10,Alpha,179,164,"34,92","360,82",7
2-Feb,10,Bravo,119,114,"4,04","190,73",3
2-Feb,10,Charly,53,132,"37,89","5430,7",4
2-Feb,10,Delta,0,0,0,0,0
2-Feb,11,Alpha,221,222,"35,58","548,58",11
2-Feb,11,Bravo,137,142,"2,57","243,8",4
2-Feb,11,Charly,42,54,"33,22","645,17",1
2-Feb,11,Delta,0,0,0,0,0
2-Feb,12,Alpha,203,192,"36,29","609,36",10
2-Feb,12,Bravo,152,151,"3,2","182,91",2
2-Feb,12,Charly,50,45,"31,64","758,69",3
2-Feb,12,Delta,5,11,"32,24","17681,45",1
2-Feb,13,Alpha,242,230,"36,17","396,89",11
2-Feb,13,Bravo,138,138,"3,8","45,86",5
2-Feb,13,Charly,47,51,"38,55","1486,37",1
2-Feb,13,Delta,2,2,34,"941,5",0
2-Feb,14,Alpha,185,185,"38,7","196,89",11
2-Feb,14,Bravo,147,145,"4,46","99,93",4
2-Feb,14,Charly,42,10,"29,09","3470,9",1
2-Feb,14,Delta,1,1,"29,19",1065,1
2-Feb,15,Alpha,247,232,"34,96","268,84",12
2-Feb,15,Bravo,99,102,"4,49","211,97",5
2-Feb,15,Charly,49,88,"39,22","996,23",4
2-Feb,15,Delta,0,0,0,0,0
2-Feb,16,Alpha,206,196,"37,71","248,94",11
2-Feb,16,Bravo,99,86,"3,59","142,05",4
2-Feb,16,Charly,60,50,"28,57","107,94",3
2-Feb,16,Delta,0,0,0,0,0
2-Feb,17,Alpha,191,188,"39,54","191,41",9
2-Feb,17,Bravo,109,109,"4,22","176,26",4
2-Feb,17,Charly,37,44,"25,4","228,05",4
2-Feb,17,Delta,0,0,0,0,0
2-Feb,18,Alpha,179,154,"35,09","363,4",8
2-Feb,18,Bravo,133,143,"3,46","199,57",3
2-Feb,18,Charly,52,12,"27,65","48,08",2
2-Feb,18,Delta,0,0,0,0,0
2-Feb,19,Alpha,221,221,"36,77","223,58",9
2-Feb,19,Bravo,162,132,"4,22","113,36",2
2-Feb,19,Charly,47,0,0,0,0
2-Feb,19,Delta,0,0,0,0,0
2-Feb,20,Alpha,177,167,"36,22","191,51",5
2-Feb,20,Bravo,197,149,"3,65","1680,45",3
2-Feb,20,Charly,41,67,"35,69","6150,37",3
2-Feb,20,Delta,1,1,"26,32",1505,1
2-Feb,21,Alpha,166,167,"35,91","139,17",10
2-Feb,21,Bravo,188,162,"2,75","2361,38",3
2-Feb,21,Charly,49,58,"57,21","4679,93",2
2-Feb,21,Delta,0,0,0,0,0
2-Feb,22,Alpha,138,130,"31,02","86,6",7
2-Feb,22,Bravo,177,61,"1,6","4186,75",1
2-Feb,22,Charly,42,55,"57,11","3960,47",2
2-Feb,22,Delta,0,0,0,0,0
2-Feb,23,Alpha,71,69,"30,52","58,13",7
2-Feb,23,Bravo,132,351,"2,84","2135,32",4
2-Feb,23,Charly,28,59,"59,85","3289,05",4
2-Feb,23,Delta,0,0,0,0,0
3-Feb,0,Alpha,65,57,"42,15","123,19",4
3-Feb,0,Bravo,111,108,"4,55","33,53",3
3-Feb,0,Charly,23,29,"69,94","805,59",1
3-Feb,0,Delta,25,0,0,0,0
3-Feb,1,Alpha,29,30,"34,74","161,47",3
3-Feb,1,Bravo,100,107,"2,44","796,67",1
3-Feb,1,Charly,13,14,"77,55","444,86",1
3-Feb,1,Delta,57,4,"32,09","5754,25",2
3-Feb,2,Alpha,28,22,"27,67","310,18",4
3-Feb,2,Bravo,63,57,"1,68","1417,44",2
3-Feb,2,Charly,11,13,"31,16",597,2
3-Feb,2,Delta,23,62,"29,13","3570,05",2
3-Feb,3,Alpha,19,21,"35,59","522,52",3
3-Feb,3,Bravo,50,55,"2,13","162,27",2
3-Feb,3,Charly,9,8,"31,87","891,75",1
3-Feb,3,Delta,4,42,"35,69","5194,05",1
3-Feb,4,Alpha,18,17,"31,64","61,24",3
3-Feb,4,Bravo,58,59,"2,63","272,86",2
3-Feb,4,Charly,7,8,"37,64","642,13",2
3-Feb,4,Delta,0,0,0,0,0
3-Feb,5,Alpha,47,41,"25,75","112,56",3
3-Feb,5,Bravo,61,59,"3,1",296,2
3-Feb,5,Charly,12,14,"36,09","344,5",2
3-Feb,5,Delta,0,0,0,0,0
3-Feb,6,Alpha,79,76,"34,74","293,84",4
3-Feb,6,Bravo,89,91,"4,4","94,35",2
3-Feb,6,Charly,14,10,"34,39","622,3",1
3-Feb,6,Delta,0,0,0,0,0
3-Feb,7,Alpha,104,102,"34,3","155,18",2
3-Feb,7,Bravo,81,76,"3,87","161,54",2
3-Feb,7,Charly,24,24,"42,29","1265,29",1
3-Feb,7,Delta,0,0,0,0,0
3-Feb,8,Alpha,135,124,"32,24","118,48",6
3-Feb,8,Bravo,101,104,"3,41","131,77",3
3-Feb,8,Charly,31,23,"50,83","517,17",3
3-Feb,8,Delta,1,0,0,0,0
3-Feb,9,Alpha,202,187,"32,41","216,29",9
3-Feb,9,Bravo,109,110,"3,96","51,85",3
3-Feb,9,Charly,38,22,"47,79","1977,59",2
3-Feb,9,Delta,0,2,"36,09","14529,5",1
3-Feb,10,Alpha,228,210,"37,43","239,22",10
3-Feb,10,Bravo,167,164,"3,74","71,29",5
3-Feb,10,Charly,40,60,"37,52","1268,72",4
3-Feb,10,Delta,0,0,0,0,0
3-Feb,11,Alpha,259,270,"36,62","163,46",9
3-Feb,11,Bravo,192,196,"3,81","56,9",4
3-Feb,11,Charly,32,6,"63,44","3117,83",3
3-Feb,11,Delta,2,0,0,0,0
3-Feb,12,Alpha,211,204,"31,79","236,65",13
3-Feb,12,Bravo,155,154,"4,77","122,27",4
3-Feb,12,Charly,47,30,"42,78","4714,2",3
3-Feb,12,Delta,0,2,"32,63","5088,5",1
3-Feb,13,Alpha,182,181,"35,21","301,79",10
3-Feb,13,Bravo,129,127,"3,56","71,71",3
3-Feb,13,Charly,54,73,"44,61","2081,3",5
3-Feb,13,Delta,1,0,0,0,0
3-Feb,14,Alpha,222,198,"36,96","327,97",12
3-Feb,14,Bravo,167,169,"3,3","88,07",5
3-Feb,14,Charly,46,37,"45,8","2453,89",7
3-Feb,14,Delta,2,0,0,0,0
3-Feb,15,Alpha,213,214,"36,45","365,2",10
3-Feb,15,Bravo,206,196,"4,12","217,45",4
3-Feb,15,Charly,33,70,"38,49","2101,76",7
3-Feb,15,Delta,2,0,0,0,0
3-Feb,16,Alpha,194,192,"36,7","156,45",8
3-Feb,16,Bravo,121,116,"3,13","545,93",3
3-Feb,16,Charly,44,12,"50,51","1972,25",2
3-Feb,16,Delta,0,5,"30,44","8056,2",1
3-Feb,17,Alpha,155,135,"35,04","162,15",11
3-Feb,17,Bravo,151,166,"4,84","340,04",3
3-Feb,17,Charly,42,48,"31,36","2122,4",4
3-Feb,17,Delta,1,0,0,0,0
3-Feb,18,Alpha,161,169,"36,84","263,14",12
3-Feb,18,Bravo,156,156,"5,27","573,97",3
3-Feb,18,Charly,30,11,"34,39","2427,64",1
3-Feb,18,Delta,0,1,"32,28",4052,1
3-Feb,19,Alpha,226,112,"33,46","953,6",7
3-Feb,19,Bravo,228,206,"5,04","824,33",1
3-Feb,19,Charly,30,35,"47,92","5546,66",4
3-Feb,19,Delta,0,0,0,0,0
3-Feb,20,Alpha,194,252,"32,9","915,57",11
3-Feb,20,Bravo,186,178,"5,26","278,65",1
3-Feb,20,Charly,43,58,"43,63","3423,12",2
3-Feb,20,Delta,24,23,"28,4","1837,65",2
3-Feb,21,Alpha,159,183,"37,27","348,85",7
3-Feb,21,Bravo,191,89,"3,35","1102,4",2
3-Feb,21,Charly,40,0,0,0,0
3-Feb,21,Delta,1,0,0,0,0
3-Feb,22,Alpha,125,117,"33,43","63,82",6
3-Feb,22,Bravo,155,283,"2,69","1106,49",4
3-Feb,22,Charly,31,29,"32,98","8107,72",3
3-Feb,22,Delta,0,0,0,0,0
3-Feb,23,Alpha,89,85,"32,45","72,9",6
3-Feb,23,Bravo,127,95,"1,85","268,16",1
3-Feb,23,Charly,32,94,"40,52","3507,13",2
3-Feb,23,Delta,2,0,0,0,0
4-Feb,0,Alpha,46,51,"33,22","165,35",4
4-Feb,0,Bravo,129,161,"2,44","564,29",4
4-Feb,0,Charly,17,9,"54,65","837,89",1
4-Feb,0,Delta,0,0,0,0,0
4-Feb,1,Alpha,23,24,"37,39","86,39",3
4-Feb,1,Bravo,74,64,"2,48","829,09",1
4-Feb,1,Charly,14,26,"43,57","1728,08",1
4-Feb,1,Delta,0,0,0,0,0
4-Feb,2,Alpha,16,13,"32,85",93,3
4-Feb,2,Bravo,65,78,"2,82","300,68",2
4-Feb,2,Charly,11,14,"33,69","2373,36",1
4-Feb,2,Delta,3,0,0,0,0
4-Feb,3,Alpha,6,4,"28,68","305,5",2
4-Feb,3,Bravo,60,56,"4,27","196,86",2
4-Feb,3,Charly,14,12,"34,76","271,58",2
4-Feb,3,Delta,0,0,0,0,0
4-Feb,4,Alpha,16,16,"33,44","263,25",2
4-Feb,4,Bravo,65,64,"3,51","498,16",2
4-Feb,4,Charly,4,0,0,0,0
4-Feb,4,Delta,0,0,0,0,0
4-Feb,5,Alpha,41,34,"38,4","104,15",4
4-Feb,5,Bravo,67,49,"3,84","738,82",2
4-Feb,5,Charly,8,10,"33,63","3229,5",1
4-Feb,5,Delta,0,0,0,0,0
4-Feb,6,Alpha,80,60,"39,99",990,4
4-Feb,6,Bravo,75,80,"4,97","314,16",2
4-Feb,6,Charly,20,2,"43,56",5305,1
4-Feb,6,Delta,0,7,"34,31","23084,29",1
4-Feb,7,Alpha,116,98,"42,44","524,85",3
4-Feb,7,Bravo,96,107,"3,33","419,55",3
4-Feb,7,Charly,25,8,"39,9","4575,75",1
4-Feb,7,Delta,0,0,0,0,0
4-Feb,8,Alpha,151,154,"39,55","415,92",9
4-Feb,8,Bravo,100,106,"4,07","92,6",4
4-Feb,8,Charly,33,37,"40,82","5583,7",4
4-Feb,8,Delta,0,0,0,0,0
4-Feb,9,Alpha,173,156,"39,37","710,92",8
4-Feb,9,Bravo,151,147,"4,19","111,2",4
4-Feb,9,Charly,31,13,"35,73","3459,23",3
4-Feb,9,Delta,0,0,0,0,0
4-Feb,10,Alpha,230,237,"36,25","430,73",12
4-Feb,10,Bravo,126,131,"4,3","79,16",4
4-Feb,10,Charly,33,0,0,0,0
4-Feb,10,Delta,0,0,0,0,0
4-Feb,11,Alpha,233,219,"35,78","167,17",11
4-Feb,11,Bravo,148,142,"3,91","69,33",5
4-Feb,11,Charly,49,58,"36,85","7965,59",5
4-Feb,11,Delta,7,0,0,0,0
4-Feb,12,Alpha,212,214,"35,82","187,17",12
4-Feb,12,Bravo,151,155,"2,87","158,96",4
4-Feb,12,Charly,47,69,"45,73","5206,36",3
4-Feb,12,Delta,0,0,0,0,0
4-Feb,13,Alpha,275,250,"35,69","209,82",14
4-Feb,13,Bravo,145,140,"4,31","98,44",5
4-Feb,13,Charly,48,92,"44,55","2248,74",5
4-Feb,13,Delta,1,6,"34,37","6231,17",1
4-Feb,14,Alpha,220,202,"39,42","411,68",13
4-Feb,14,Bravo,148,157,"4,47","109,62",5
4-Feb,14,Charly,34,44,"55,18","637,41",2
4-Feb,14,Delta,1,0,0,0,0
4-Feb,15,Alpha,196,197,"35,37","294,6",12
4-Feb,15,Bravo,149,148,"3,84","109,18",3
4-Feb,15,Charly,66,39,"67,26",188,1
4-Feb,15,Delta,0,0,0,0,0
4-Feb,16,Alpha,194,175,"34,28","234,16",15
4-Feb,16,Bravo,112,113,"4,39","64,96",5
4-Feb,16,Charly,56,73,"30,26","746,85",5
4-Feb,16,Delta,0,3,"31,03","12246,67",1
4-Feb,17,Alpha,196,182,"35,01","183,27",9
4-Feb,17,Bravo,142,141,"4,07","40,28",3
4-Feb,17,Charly,42,50,"51,02","453,58",2
4-Feb,17,Delta,0,0,0,0,0
4-Feb,18,Alpha,165,165,"37,11","474,77",10
4-Feb,18,Bravo,134,133,"4,23","58,3",3
4-Feb,18,Charly,45,32,"72,69","508,13",2
4-Feb,18,Delta,0,0,0,0,0
4-Feb,19,Alpha,225,192,"36,01","553,83",5
4-Feb,19,Bravo,161,161,"5,46","12,93",2
4-Feb,19,Charly,30,44,"61,36","1047,36",1
4-Feb,19,Delta,0,0,0,0,0
4-Feb,20,Alpha,172,150,"29,96","451,95",6
4-Feb,20,Bravo,162,53,"4,48","1011,47",2
4-Feb,20,Charly,37,32,"58,14","925,28",1
4-Feb,20,Delta,2,0,0,0,0
4-Feb,21,Alpha,131,149,"36,8","560,5",5
4-Feb,21,Bravo,197,307,"3,13","1090,64",3
4-Feb,21,Charly,43,6,"33,21","1882,67",1
4-Feb,21,Delta,10,0,0,0,0
4-Feb,22,Alpha,108,92,"34,13","264,91",4
4-Feb,22,Bravo,166,162,"5,81","33,68",3
4-Feb,22,Charly,43,13,"30,07","5586,62",2
4-Feb,22,Delta,64,0,0,0,0
4-Feb,23,Alpha,90,104,"36,92","371,31",9
4-Feb,23,Bravo,173,176,"4,52","67,39",3
4-Feb,23,Charly,29,104,"36,85","3520,74",4
4-Feb,23,Delta,26,102,"31,3","2726,4",4
5-Feb,0,Alpha,57,55,"34,62","76,77",2
5-Feb,0,Bravo,106,107,"6,32","25,95",3
5-Feb,0,Charly,26,26,"50,34","823,92",2
5-Feb,0,Delta,0,0,0,0,0
5-Feb,1,Alpha,28,31,"35,21","148,1",1
5-Feb,1,Bravo,67,0,0,0,0
5-Feb,1,Charly,19,18,"35,12","220,33",1
5-Feb,1,Delta,0,0,0,0,0
5-Feb,2,Alpha,22,21,"34,4","178,52",4
5-Feb,2,Bravo,59,127,"4,34","1271,61",2
5-Feb,2,Charly,14,12,"30,1","231,58",1
5-Feb,2,Delta,0,0,0,0,0
5-Feb,3,Alpha,13,11,"33,42","68,92",2
5-Feb,3,Bravo,50,28,"5,57","141,75",1
5-Feb,3,Charly,8,12,"35,47","1013,92",1
5-Feb,3,Delta,0,0,0,0,0
5-Feb,4,Alpha,22,22,"33,98","80,19",3
5-Feb,4,Bravo,46,66,"3,06","978,21",2
5-Feb,4,Charly,8,4,"29,62","927,25",2
5-Feb,4,Delta,0,0,0,0,0
5-Feb,5,Alpha,32,26,"32,58","86,15",5
5-Feb,5,Bravo,59,53,"3,69","684,45",2
5-Feb,5,Charly,14,5,"32,95",831,1
5-Feb,5,Delta,0,0,0,0,0
5-Feb,6,Alpha,63,60,"35,76","364,9",3
5-Feb,6,Bravo,68,76,"5,61","162,68",2
5-Feb,6,Charly,12,0,0,0,0
5-Feb,6,Delta,0,0,0,0,0
5-Feb,7,Alpha,113,86,"36,89","227,01",5
5-Feb,7,Bravo,72,72,"5,49","70,25",2
5-Feb,7,Charly,29,0,0,0,0
5-Feb,7,Delta,0,0,0,0,0
5-Feb,8,Alpha,126,132,"37,03","442,65",6
5-Feb,8,Bravo,90,90,"4,81","92,86",4
5-Feb,8,Charly,43,0,0,0,0
5-Feb,8,Delta,3,0,0,0,0
5-Feb,9,Alpha,174,147,"36,7","456,18",6
5-Feb,9,Bravo,124,124,"4,88","55,83",5
5-Feb,9,Charly,37,0,0,0,0
5-Feb,9,Delta,0,0,0,0,0
5-Feb,10,Alpha,192,173,"34,66","470,67",7
5-Feb,10,Bravo,140,138,"4,32","96,11",5
5-Feb,10,Charly,39,0,0,0,0
5-Feb,10,Delta,0,0,0,0,0
5-Feb,11,Alpha,218,231,"34,97","643,74",11
5-Feb,11,Bravo,214,215,"4,69","80,34",5
5-Feb,11,Charly,60,5,"36,18","21116,2",1
5-Feb,11,Delta,0,0,0,0,0
5-Feb,12,Alpha,224,224,"35,78","434,77",14
5-Feb,12,Bravo,165,138,"4,05","153,8",4
5-Feb,12,Charly,44,134,"50,47","15048,46",3
5-Feb,12,Delta,0,0,0,0,0
5-Feb,13,Alpha,161,152,"36,11","180,88",9
5-Feb,13,Bravo,168,195,"4,41","173,19",7
5-Feb,13,Charly,43,128,"54,76","6948,7",5
5-Feb,13,Delta,0,0,0,0,0
5-Feb,14,Alpha,177,163,"36,08","255,43",13
5-Feb,14,Bravo,158,153,"4,35","95,17",5
5-Feb,14,Charly,40,47,"82,24","4401,15",2
5-Feb,14,Delta,0,1,"43,91",21427,1
5-Feb,15,Alpha,219,207,"37,06","323,73",14
5-Feb,15,Bravo,150,154,"4,59","68,82",5
5-Feb,15,Charly,46,88,"42,69","1982,39",3
5-Feb,15,Delta,0,2,"35,62","23612,5",1
5-Feb,16,Alpha,170,172,"31,56","168,92",8
5-Feb,16,Bravo,130,119,"3,6","95,18",5
5-Feb,16,Charly,55,23,"41,04","439,3",4
5-Feb,16,Delta,0,0,0,0,0
5-Feb,17,Alpha,161,158,"33,21","71,64",6
5-Feb,17,Bravo,133,146,"3,29","118,32",3
5-Feb,17,Charly,47,80,48,"870,2",4
5-Feb,17,Delta,0,0,0,0,0
5-Feb,18,Alpha,161,154,"29,76","65,87",6
5-Feb,18,Bravo,151,149,"3,41","199,89",3
5-Feb,18,Charly,38,31,"77,98","714,1",3
5-Feb,18,Delta,0,0,0,0,0
5-Feb,19,Alpha,210,192,"31,69","282,01",5
5-Feb,19,Bravo,144,121,"3,31","83,01",3
5-Feb,19,Charly,37,23,"44,46","448,96",2
5-Feb,19,Delta,17,0,0,0,0
5-Feb,20,Alpha,187,164,"33,33","117,87",5
5-Feb,20,Bravo,192,171,"5,29","1251,1",2
5-Feb,20,Charly,44,30,"44,03","2448,53",3
5-Feb,20,Delta,0,15,"22,8","3068,4",1
5-Feb,21,Alpha,137,135,"35,74","387,82",6
5-Feb,21,Bravo,242,287,"4,41","81,08",3
5-Feb,21,Charly,35,66,"40,35","2033,21",6
5-Feb,21,Delta,56,8,"63,85","3890,88",1
5-Feb,22,Alpha,96,106,"36,88","460,61",9
5-Feb,22,Bravo,169,170,"4,64","45,42",3
5-Feb,22,Charly,34,38,"38,14","1026,34",5
5-Feb,22,Delta,13,56,"35,33","3195,96",2
5-Feb,23,Alpha,70,61,"30,21","218,49",7
5-Feb,23,Bravo,151,150,"4,64","25,52",4
5-Feb,23,Charly,23,19,"36,74","694,74",5
5-Feb,23,Delta,124,106,36,"1658,96",2
6-Feb,0,Alpha,37,39,"36,18","686,72",5
6-Feb,0,Bravo,127,126,"3,87","82,92",4
6-Feb,0,Charly,20,27,"27,82","1044,74",3
6-Feb,0,Delta,8,22,"33,2","912,64",2
6-Feb,1,Alpha,24,31,"34,6","367,83",4
6-Feb,1,Bravo,60,62,"5,14","21,6",1
6-Feb,1,Charly,11,10,"24,2","1375,6",1
6-Feb,1,Delta,2,11,"24,16","4346,27",2
6-Feb,2,Alpha,22,16,"29,62","202,19",4
6-Feb,2,Bravo,46,46,"3,44","221,02",2
6-Feb,2,Charly,5,4,"59,8",1137,2
6-Feb,2,Delta,7,5,"34,27","859,6",1
6-Feb,3,Alpha,17,19,"32,9","328,11",2
6-Feb,3,Bravo,68,68,"4,02","65,65",2
6-Feb,3,Charly,10,11,"37,36",820,2
6-Feb,3,Delta,0,3,"18,61","4842,67",1
6-Feb,4,Alpha,16,16,"35,58","137,31",3
6-Feb,4,Bravo,71,56,"3,86","86,8",2
6-Feb,4,Charly,10,8,"27,73","550,63",2
6-Feb,4,Delta,0,0,0,0,0
6-Feb,5,Alpha,41,27,"31,06","165,52",2
6-Feb,5,Bravo,83,98,"4,92","123,61",2
6-Feb,5,Charly,10,4,"27,72",1423,1
6-Feb,5,Delta,0,1,"37,2",10385,1
6-Feb,6,Alpha,67,70,"37,53","375,17",2
6-Feb,6,Bravo,66,64,"4,89","443,28",1
6-Feb,6,Charly,15,0,0,0,0
6-Feb,6,Delta,0,0,0,0,0
6-Feb,7,Alpha,116,72,"37,1","959,66",3
6-Feb,7,Bravo,87,89,"5,01","86,1",1
6-Feb,7,Charly,26,0,0,0,0
6-Feb,7,Delta,0,0,0,0,0
6-Feb,8,Alpha,140,158,"37,41","480,48",7
6-Feb,8,Bravo,138,135,"4,08","105,68",3
6-Feb,8,Charly,31,0,0,0,0
6-Feb,8,Delta,0,0,0,0,0
6-Feb,9,Alpha,149,142,"35,58","273,06",6
6-Feb,9,Bravo,105,94,"4,35","87,16",3
6-Feb,9,Charly,41,0,0,0,0
6-Feb,9,Delta,0,0,0,0,0
6-Feb,10,Alpha,224,208,"36,87","493,45",9
6-Feb,10,Bravo,149,159,"3,23","69,21",4
6-Feb,10,Charly,41,0,0,0,0
6-Feb,10,Delta,0,0,0,0,0
